"","hhid","intmonth","stfips","weight","earnwke","uhours","grade92","race","ethnic","age","sex","marital","ownchild","chldpres","prcitshp","state","ind02","occ2012","class","unionmme","unioncov","lfsr94"
"174730",111877006130190,"July","NC",3523.399,1800,50,43,2,NA,49,1,1,0,0,"Native, Born In US","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"174814",831772001730881,"July","NC",4883.5448,400,40,39,2,NA,34,1,1,1,3,"Native, Born In US","5","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"174873",130700073445115,"July","NC",3538.3841,800,45,39,1,NA,48,1,1,3,10,"Native, Born In US","5","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"174908",308150312056703,"July","NC",3503.8397,1120,40,42,1,NA,60,1,1,0,0,"Native, Born In US","5","3875",9130,"Private, For Profit","No","No","Employed-At Work"
"174918",373887011905892,"July","NC",4192.4269,426,40,39,2,NA,53,1,1,0,0,"Native, Born In US","5","Building material and supplies dealers (4441 exc. 44413)",9130,"Private, For Profit","No","No","Employed-At Work"
"175063",101005893105667,"July","NC",3399.134,420,40,40,1,NA,52,1,1,0,0,"Native, Born In US","5","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"175099",622037966319490,"July","NC",3305.7212,585,40,39,1,NA,55,1,6,0,0,"Native, Born In US","5","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"175128",799220506910653,"July","NC",3441.7303,712.5,50,39,1,NA,47,1,1,0,0,"Foreign Born, Not a US Citizen","5","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"175154",907729250729307,"July","NC",4707.8622,1000,42,39,2,NA,40,1,1,1,3,"Native, Born In US","5","Cement, concrete, lime, and gypsum product manufacturing (3273, 3274)",9130,"Private, For Profit","No","No","Employed-At Work"
"175169",957419710819302,"July","NC",3928.4438,807.69,50,36,2,NA,52,1,5,0,0,"Native, Born In US","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"175191",60979093131399,"July","NC",4324.3701,900,30,37,1,NA,42,1,5,2,8,"Native, Born In US","5","Drycleaning and laundry services (8123)",9130,"Private, For Profit","No","No","Employed-At Work"
"175330",601909873899778,"July","ND",422.3401,1790.7,55,39,1,NA,51,1,1,0,0,"Native, Born In US","4","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-Absent"
"175368",899080857960913,"July","ND",419.2669,865.38,50,43,1,NA,60,1,7,0,0,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"175390",948309510709308,"July","ND",445.3331,1350,60,39,1,NA,61,1,5,0,0,"Native, Born In US","4","Lawn and garden equipment and supplies stores (4442)",9130,"Private, For Profit","No","No","Employed-Absent"
"175429",30810060881479,"July","ND",414.8725,750,45,39,1,NA,29,1,7,0,0,"Native, Born In US","4","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"175469",122623080081405,"July","ND",370.921,480,40,40,1,NA,19,1,7,0,0,"Native, Born In US","4","Couriers and messengers (492)",9130,"Private, For Profit","Yes","","Employed-At Work"
"175530",421882005230160,"July","ND",388.1731,1000,40,40,1,NA,54,1,1,0,0,"Native, Born In US","4","Miscellaneous manufacturing, n.e.c. (3399 exc. 33992, 33993)",9130,"Private, For Profit","No","No","Employed-At Work"
"175618",30910322783919,"July","OH",4362.8773,740,40,39,2,NA,51,1,1,1,3,"Native, Born In US","3","Waste management and remediation services (562)",9130,"Government - Local","Yes","","Employed-At Work"
"175660",301905263893709,"July","OH",3133.257,240,30,31,1,NA,19,1,7,0,0,"Native, Born In US","3","Furniture and home furnishings stores (442)",9130,"Private, For Profit","No","No","Employed-Absent"
"175663",302380213099971,"July","OH",2739.8019,1250,70,37,1,NA,57,1,5,0,0,"Native, Born In US","3","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"175664",302380213099971,"July","OH",2918.8658,1250,70,37,1,NA,54,1,4,0,0,"Native, Born In US","3","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"175741",18049872300761,"July","OH",3033.2041,1439.7,50,39,1,NA,53,1,7,0,0,"Native, Born In US","3","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"175870",207307401910546,"July","OH",3826.3324,609.61,50,43,2,NA,45,1,5,0,0,"Native, Born In US","3","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"176319",40010139062815,"July","OK",1560.6047,1200,55,36,2,NA,63,1,5,0,0,"Native, Born In US","7","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"176441",200681601990409,"July","OK",2091.6962,617.2,40,36,1,NA,56,1,1,0,0,"Native, Born In US","7","Elementary and secondary schools (6111)",9130,"Private, For Profit","No","No","Employed-At Work"
"176530",202408650010749,"July","OK",1162.0609,1250,40,39,1,NA,28,1,1,2,3,"Native, Born In US","7","Specialty food stores (4452)",9130,"Private, For Profit","No","No","Employed-At Work"
"176545",621010996419400,"July","OK",2662.5203,1000,45,39,1,NA,55,1,1,0,0,"Native, Born In US","7","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"176620",199410142170914,"July","OR",2281.6369,200.2,22,42,1,NA,46,1,5,0,0,"Native, Born In US","9","Colleges and universities, including junior colleges (6112, 6113)",9130,"Government - State","No","No","Employed-Absent"
"176722",62041848400831,"July","OR",1922.7233,500,50,36,1,NA,27,1,1,2,1,"Foreign Born, Not a US Citizen","9","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"176763",301709844895331,"July","OR",2115.0329,1153.84,50,39,1,NA,62,1,1,0,0,"Native, Born In US","9","Logging (1133)",9130,"Private, For Profit","No","No","Employed-At Work"
"176829",921119310479405,"July","OR",1999.7077,1000,60,39,1,NA,55,1,1,0,0,"Native, Born In US","9","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"176914",976001946459050,"July","OR",1998.2673,880,50,39,1,NA,28,1,1,1,1,"Native, Born In US","9","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"176925",991919710269405,"July","OR",2135.2983,400,40,39,1,NA,30,2,1,3,5,"Native, Born In US","9","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"177134",40210183027760,"July","PA",3083.0148,1100,40,42,1,NA,40,1,7,0,0,"Native, Born In US","2","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"177239",221221001940481,"July","PA",3252.6426,290,40,43,2,NA,50,1,5,0,0,"Foreign Born, US Cit By Naturalization","2","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"177263",299140187620914,"July","PA",3060.0148,1461.53,40,40,1,NA,41,1,1,3,10,"Native, Born In US","2","Couriers and messengers (492)",9130,"Private, For Profit","Yes","","Employed-At Work"
"177407",782159410529401,"July","PA",3417.2357,668,40,39,1,NA,54,1,1,0,0,"Native, Born In US","2","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-Absent"
"177502",121574020088804,"July","PA",1889.4361,1440,72,39,1,NA,31,1,7,0,0,"Native, Born In US","2","Support activities for mining (213)",9130,"Private, For Profit","No","No","Employed-At Work"
"177523",230950708691004,"July","PA",2362.5952,1169.23,50,39,1,NA,59,1,1,0,0,"Native, Born In US","2","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"177545",299690256620654,"July","PA",3357.1805,330,40,39,1,NA,60,1,1,0,0,"Native, Born In US","2","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"177554",324953100101106,"July","PA",3136.1389,807,40,42,1,NA,46,1,1,1,3,"Native, Born In US","2","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"177601",820921094141939,"July","PA",3381.5752,1634,50,39,1,NA,51,1,1,0,0,"Native, Born In US","2","Grocery stores (4451)",9130,"Private, For Profit","No","No","Employed-At Work"
"177612",922229910326401,"July","PA",3174.1254,1019.23,48,39,1,NA,56,1,1,0,0,"Native, Born In US","2","Grocery stores (4451)",9130,"Private, For Profit","No","No","Employed-At Work"
"177674",140209927266988,"July","PA",3207.5982,900,60,39,1,NA,55,1,1,0,0,"Native, Born In US","2","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"177693",218496679200892,"July","PA",3616.2093,762.5,52,40,1,NA,22,1,1,1,1,"Native, Born In US","2","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"177949",244140110404008,"July","RI",855.3936,770.4,40,31,1,5,54,1,6,0,0,"Foreign Born, US Cit By Naturalization","1","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"178016",544106081908978,"July","RI",476.8639,1375,50,42,1,NA,54,1,1,0,0,"Native, Born In US","1","Dairy product manufacturing (3115)",9130,"Private, For Profit","No","No","Employed-At Work"
"178069",744429031908775,"July","RI",574.7318,150,15,37,1,NA,18,1,7,0,0,"Native, Born In US","1","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"178075",784079410279408,"July","RI",616.8284,770.4,40,35,1,NA,43,1,1,0,0,"Native, Born In US","1","** Construction (23)",9130,"Government - Local","Yes","","Employed-At Work"
"178091",901700154896884,"July","RI",401.658,200,25,40,1,NA,19,2,7,0,0,"Native, Born In US","1","Grocery stores (4451)",9130,"Private, For Profit","No","No","Employed-At Work"
"178338",615469174500924,"July","SC",2653.4196,640,40,39,2,NA,51,1,5,0,0,"Native, Born In US","5","Agricultural chemical manufacturing (3253)",9130,"Private, For Profit","No","No","Employed-At Work"
"178556",91364009940770,"July","SD",197.7953,1146.65,45,41,1,NA,50,1,5,0,0,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"178790",41363003640590,"July","SD",159.9335,1000,40,39,1,NA,61,1,1,0,0,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"178834",201905634899916,"July","SD",519.5552,1634,70,40,1,NA,44,1,1,3,4,"Native, Born In US","4","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"178891",630700323651004,"July","SD",551.3772,400.5,40,42,1,NA,56,1,1,0,0,"Native, Born In US","4","** Drugs, sundries, and chemical and allied products, merchant (wholesalerss*4242, 4246)",9130,"Private, For Profit","No","No","Employed-Absent"
"178893",631861009940520,"July","SD",587.4133,220,40,39,1,NA,52,1,1,0,0,"Native, Born Abroad Of US Parent(s)","4","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"178974",174389120101204,"July","TN",2525.7986,440,40,40,1,NA,35,1,1,0,0,"Native, Born In US","6","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"178975",174389120101204,"July","TN",2365.3629,400,40,40,1,NA,31,2,1,0,0,"Native, Born In US","6","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"179090",119494849700844,"July","TN",4452.0009,400,40,39,1,NA,22,1,7,0,0,"Native, Born In US","6","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"179194",799040626960914,"July","TN",2939.1412,1049.6,45,40,1,NA,49,1,5,0,0,"Native, Born In US","6","Electric power generation, transmission and distribution (Pt. 2211)",9130,"Government - Federal","Yes","","Employed-At Work"
"179284",799060464440914,"July","TN",2910.0909,500,40,39,1,NA,45,1,1,0,0,"Native, Born In US","6","4795",9130,"Private, For Profit","No","No","Employed-At Work"
"179295",799470469150654,"July","TN",3704.086,225,30,39,1,NA,44,1,5,2,3,"Native, Born In US","6","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"179374",574948140004101,"July","TN",1827.6215,220,40,39,1,NA,52,1,1,0,0,"Native, Born In US","6","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"179535",104409955810411,"July","TX",3378.1116,640,40,39,2,NA,42,1,5,0,0,"Native, Born In US","7","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"179582",140809953412881,"July","TX",3697.0411,576.92,40,39,2,NA,51,1,7,0,0,"Native, Born In US","7","Building material and supplies dealers (4441 exc. 44413)",9130,"Private, For Profit","No","No","Employed-At Work"
"179742",490991409039885,"July","TX",4633.6475,150,25,39,2,1,55,1,1,0,0,"Foreign Born, Not a US Citizen","7","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"179770",511491239800884,"July","TX",3845.6811,1000,40,39,1,3,48,1,1,0,0,"Foreign Born, Not a US Citizen","7","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"180191",231382007440900,"July","TX",3830.1592,640,40,39,2,NA,50,1,1,0,0,"Native, Born In US","7","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"180366",784300120206509,"July","TX",3324.3673,1700,50,39,1,NA,42,1,1,2,4,"Native, Born In US","7","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"180695",350986099841379,"July","TX",4219.5314,888,48,40,4,NA,21,1,7,0,0,"Foreign Born, Not a US Citizen","7","Support activities for mining (213)",9130,"Private, For Profit","No","No","Employed-At Work"
"180741",830710680101004,"July","TX",4498.1104,1000,70,40,1,1,28,1,1,2,5,"Native, Born In US","7","** Petroleum and petroleum products, merchant wholesalers (*4247)",9130,"Private, For Profit","No","No","Employed-At Work"
"180751",899730706440654,"July","TX",3731.2033,800,55,37,1,NA,51,1,7,0,0,"Native, Born In US","7","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"180804",140909926708582,"July","UT",1919.3881,1000,40,39,1,8,43,1,5,1,4,"Native, Born In US","8","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"180923",290494097241569,"July","UT",1843.9139,520,40,40,1,NA,60,1,1,0,0,"Native, Born In US","8","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"180929",403190316056905,"July","UT",1673.5479,392.3,45,39,1,NA,19,1,7,0,0,"Native, Born In US","8","Specialized design services (5414)",9130,"Private, For Profit","No","No","Employed-At Work"
"181067",999480580480614,"July","UT",1915.3322,384.61,40,39,1,NA,34,1,7,2,8,"Native, Born In US","8","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"181287",960079410616503,"July","VT",338.8458,635,40,39,1,NA,53,1,7,0,0,"Native, Born In US","1","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"181416",820510401540507,"July","VT",470.8154,576,36,43,1,NA,43,1,5,0,0,"Native, Born In US","1","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"181566",15792140004909,"July","VA",2705.782,675,45,38,1,NA,40,1,6,0,0,"Native, Born In US","5","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"181580",50110063211945,"July","VA",4686.025,170,20,40,2,NA,23,1,7,0,0,"Foreign Born, Not a US Citizen","5","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"181646",130850995491005,"July","VA",3197.5904,380,40,39,1,NA,21,1,7,0,0,"Native, Born In US","5","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"181870",790916064855789,"July","VA",2578.0091,635,40,39,1,NA,53,1,1,0,0,"Native, Born In US","5","Fuel dealers (45431)",9130,"Private, For Profit","No","No","Employed-At Work"
"181896",50110032243244,"July","VA",3745.9026,342,37,39,1,NA,26,1,7,0,0,"Native, Born In US","5","Furniture and home furnishings stores (442)",9130,"Private, For Profit","No","No","Employed-At Work"
"181913",115328150004102,"July","VA",4095.7078,620,45,39,1,NA,48,1,1,2,10,"Native, Born In US","5","Other consumer goods rental (53221, 53222, 53229, 5323)",9130,"Private, For Profit","No","No","Employed-At Work"
"181915",115328150004102,"July","VA",3308.9976,380,40,39,1,NA,19,1,7,0,0,"Native, Born In US","5","Other consumer goods rental (53221, 53222, 53229, 5323)",9130,"Private, For Profit","No","No","Employed-At Work"
"181919",130810809951005,"July","VA",3120.5141,592,40,35,1,NA,49,1,1,0,0,"Native, Born In US","5","** Furniture and home furnishing, merchant wholesalers (*4232)",9130,"Private, For Profit","No","No","Employed-At Work"
"181931",199150937580955,"July","VA",2443.2453,1056.3,45,36,1,NA,58,1,1,0,0,"Native, Born In US","5","Fuel dealers (45431)",9130,"Private, For Profit","No","No","Employed-At Work"
"181937",199510233810955,"July","VA",2728.3344,2000,60,40,1,NA,23,1,1,1,1,"Native, Born In US","5","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"181965",713031978519950,"July","VA",2629.6162,520,40,40,1,NA,52,1,7,0,0,"Native, Born In US","5","Iron and steel mills and steel product manufacturing (3311, 3312)",9130,"Private, For Profit","No","No","Employed-At Work"
"181967",774041920519700,"July","VA",2285.2686,800,65,39,1,NA,42,1,1,2,10,"Native, Born In US","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"182249",678013932519240,"July","WA",6920.1617,117.96,9,39,3,1,24,2,2,0,0,"Native, Born In US","9","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"182616",17555140695196,"July","WV",1290.3651,1700,70,42,1,7,53,1,1,0,0,"Foreign Born, US Cit By Naturalization","5","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-Absent"
"182735",850940092951599,"July","WV",1172.1799,1520,80,39,1,NA,39,1,1,0,0,"Native, Born In US","5","Support activities for mining (213)",9130,"Private, For Profit","No","No","Employed-At Work"
"183247",655961140004206,"July","WI",3578.1326,440,40,39,1,NA,50,1,7,1,4,"Native, Born In US","3","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"183257",855222140004500,"July","WI",6218.8797,640,40,40,1,NA,24,1,7,0,0,"Native, Born In US","3","** Alcoholic beverages, merchant wholesalers (*4248)",9130,"Private, For Profit","No","No","Employed-At Work"
"183258",855222140004500,"July","WI",6218.8797,640,40,39,1,NA,24,1,7,0,0,"Native, Born In US","3","** Alcoholic beverages, merchant wholesalers (*4248)",9130,"Private, For Profit","No","No","Employed-At Work"
"183405",410008045409616,"July","WY",277.5833,1489.5,45,38,1,NA,62,1,1,0,0,"Native, Born In US","8","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"183415",501000614094684,"July","WY",277.5833,556,47,39,1,NA,62,1,1,0,0,"Native, Born In US","8","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"183464",673076929519540,"July","WY",295.8104,961,42,39,1,NA,55,1,1,0,0,"Native, Born In US","8","Fuel dealers (45431)",9130,"Private, For Profit","No","No","Employed-At Work"
"183533",946929110467506,"July","WY",304.9234,200,34,39,1,NA,38,1,7,0,0,"Native, Born In US","8","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"183548",986719210656501,"July","WY",304.8698,1376,42,40,1,NA,39,1,1,2,10,"Native, Born In US","8","Coal mining (2121)",9130,"Private, For Profit","No","No","Employed-At Work"
"183602",206231701260504,"July","WY",221.7022,640,40,40,1,1,30,2,7,1,3,"Native, Born In US","8","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"183626",621460974791005,"July","WY",262.6626,855,40,38,1,NA,33,1,7,0,0,"Native, Born In US","8","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"183651",765799041001416,"July","WY",320.8546,840,40,38,1,NA,49,1,1,0,0,"Native, Born In US","8","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"183765",30817096102049,"August","AL",3130.7289,1100,55,40,1,NA,33,1,1,1,2,"Native, Born In US","6","Beverage manufacturing (3121)",9130,"Private, For Profit","Yes","","Employed-At Work"
"183922",202902770999971,"August","AL",3063.1437,576,24,40,1,NA,19,1,7,0,0,"Native, Born In US","6","Furniture and home furnishings stores (442)",9130,"Private, For Profit","No","No","Employed-At Work"
"183941",650081982069020,"August","AL",2880.6563,1560,60,40,2,NA,40,1,7,0,0,"Native, Born In US","6","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"183942",650081982069020,"August","AL",2880.6563,1560,60,40,2,NA,40,1,7,0,0,"Native, Born In US","6","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"184407",140366190806104,"August","AZ",3533.7362,961.53,45,40,1,NA,58,1,5,0,0,"Foreign Born, Not a US Citizen","8","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-Absent"
"184835",91730250693099,"August","AR",1918.8753,1000,40,43,1,NA,49,1,1,1,2,"Native, Born In US","7","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"184839",93972500035549,"August","AR",1809.1776,1780,45,43,1,NA,52,1,1,0,0,"Native, Born In US","7","Couriers and messengers (492)",9130,"Private, For Profit","Yes","","Employed-At Work"
"184883",907002900510980,"August","AR",790.7366,1050,70,39,1,NA,40,1,1,4,10,"Native, Born In US","7","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"184928",106900670994245,"August","AR",3021.8724,640,40,39,2,NA,38,1,7,0,0,"Native, Born In US","7","** Alcoholic beverages, merchant wholesalers (*4248)",9130,"Private, For Profit","No","No","Employed-At Work"
"185100",1005560610993,"August","CA",3400.1999,800,70,35,1,1,48,1,1,3,10,"Foreign Born, Not a US Citizen","9","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"185122",4110711082611,"August","CA",5100.5388,560,40,39,2,NA,41,1,1,3,10,"Native, Born In US","9","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"185341",99912604028647,"August","CA",3049.5349,880,40,36,1,1,40,1,1,3,8,"Native, Born In US","9","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"185364",110003550909066,"August","CA",3400.1999,673.07,45,34,1,1,45,1,5,0,0,"Native, Born In US","9","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"185402",160118170101204,"August","CA",7338.5893,850,45,39,2,1,33,1,5,0,0,"Foreign Born, Not a US Citizen","9","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"185676",527093189600778,"August","CA",2658.8801,920,40,40,1,NA,50,1,1,0,0,"Native, Born In US","9","Specialty food stores (4452)",9130,"Private, For Profit","No","No","Employed-At Work"
"185699",560365012904096,"August","CA",3192.4479,800,40,43,1,1,51,1,1,2,4,"Foreign Born, US Cit By Naturalization","9","Waste management and remediation services (562)",9130,"Private, For Profit","Yes","","Employed-At Work"
"185928",886919520339001,"August","CA",3648.4887,576.92,40,43,4,NA,43,1,1,2,6,"Foreign Born, US Cit By Naturalization","9","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"185993",976752801600009,"August","CA",3072.031,923.07,40,39,1,1,43,1,1,0,0,"Native, Born In US","9","Waste management and remediation services (562)",9130,"Government - Local","Yes","","Employed-At Work"
"186023",330712049668,"August","CA",3187.0916,920,40,39,1,1,50,1,1,1,4,"Foreign Born, US Cit By Naturalization","9","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"186078",610949252306,"August","CA",3102.1508,650,32,40,1,NA,59,1,1,0,0,"Native, Born In US","9","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"186230",36260260982090,"August","CA",2935.1897,287.5,30,37,1,1,22,1,7,0,0,"Native, Born In US","9","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","Yes","Employed-At Work"
"186249",54006619004771,"August","CA",3229.2304,923,40,39,1,1,37,1,1,2,10,"Foreign Born, US Cit By Naturalization","9","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"186420",160389120504214,"August","CA",3466.8938,576,40,43,1,1,35,1,7,0,0,"Native, Born In US","9","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"186488",200609906437173,"August","CA",3365.8767,532,40,39,1,5,24,2,7,0,0,"Native, Born In US","9","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","Yes","","Employed-At Work"
"186534",210001020038566,"August","CA",3161.5804,1153.84,65,39,1,1,44,1,1,1,3,"Foreign Born, Not a US Citizen","9","Beverage manufacturing (3121)",9130,"Private, For Profit","Yes","","Employed-At Work"
"186567",246961601150005,"August","CA",5259.0432,384.61,40,39,4,5,61,1,1,0,0,"Foreign Born, US Cit By Naturalization","9","** Motor vehicles, parts and supplies, merchant wholesalers (*4231)",9130,"Private, For Profit","No","No","Employed-At Work"
"186662",424092599600782,"August","CA",2575.4067,1375,50,39,1,NA,52,1,1,0,0,"Native, Born In US","9","Bakeries, except retail (3118 exc. 311811)",9130,"Private, For Profit","Yes","","Employed-At Work"
"186708",460435100002807,"August","CA",3104.2519,400,40,32,1,1,59,1,1,0,0,"Foreign Born, Not a US Citizen","9","Management, scientific, and technical consulting services (5416)",9130,"Private, For Profit","No","No","Employed-At Work"
"186775",560539002907196,"August","CA",2575.4067,1250,60,39,1,NA,50,1,7,0,0,"Native, Born In US","9","Metal ore mining (2122)",9130,"Private, For Profit","No","No","Employed-At Work"
"186830",641490356221100,"August","CA",3633.7514,1000,55,39,1,1,44,1,5,0,0,"Native, Born Abroad Of US Parent(s)","9","Couriers and messengers (492)",9130,"Private, For Profit","Yes","","Employed-Absent"
"186935",702904560775836,"August","CA",3851.5989,630,40,39,1,NA,22,1,7,0,0,"Native, Born In US","9","Miscellaneous retail stores (4539)",9130,"Private, For Profit","No","No","Employed-At Work"
"186984",770867099902229,"August","CA",4843.0533,1762,40,40,2,NA,50,1,1,1,4,"Native, Born In US","9","Waste management and remediation services (562)",9130,"Private, For Profit","Yes","","Employed-At Work"
"187050",856245901621003,"August","CA",2968.3061,1000,40,33,1,1,58,1,1,1,4,"Foreign Born, US Cit By Naturalization","9","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"187077",900561099102009,"August","CA",2780.865,1634.61,40,42,4,NA,45,1,1,2,10,"Foreign Born, US Cit By Naturalization","9","Couriers and messengers (492)",9130,"Private, For Profit","Yes","","Employed-At Work"
"187095",910006320834706,"August","CA",3152.6457,920,40,39,1,1,38,1,1,1,3,"Native, Born In US","9","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"187487",758068882029140,"August","CO",1897.4928,330,30,39,2,NA,23,1,1,0,0,"Native, Born In US","8","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"187597",110883076902259,"August","CO",1539.2645,1050,60,39,1,NA,43,1,5,1,4,"Native, Born In US","8","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"187698",23092899800951,"August","CO",2068.1587,620,40,39,1,8,29,1,7,0,0,"Native, Born In US","8","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"187890",141997005700471,"August","CT",2936.765,279,32,40,1,8,21,1,7,0,0,"Native, Born In US","1","****Department stores and discount stores (s45211)",9130,"Private, For Profit","No","No","Employed-At Work"
"188159",727075759900412,"August","CT",1319.9624,1038.46,48,39,2,NA,45,1,1,1,3,"Native, Born In US","1","Community food and housing, and emergency services (6242)",9130,"Private, For Profit","No","No","Employed-At Work"
"188316",641070915124320,"August","DE",457.4562,700,50,39,1,NA,26,1,7,0,0,"Native, Born In US","5","Drycleaning and laundry services (8123)",9130,"Private, For Profit","No","No","Employed-At Work"
"188433",101963190208004,"August","DE",504.1465,1057.69,40,44,1,NA,51,2,7,0,0,"Native, Born In US","5","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
